file	side	kappa
02_std/fused_labels/ADNI_012_S_0917_MR_MPR____N3__Scaled_Br_20070711165737171_S23404_I59207	right	0.700140779
02_std/fused_labels/ADNI_012_S_0932_MR_MPR____N3__Scaled_Br_20070711173123684_S19374_I59255	right	0.558974359
02_std/fused_labels/ADNI_012_S_0712_MR_MPR____N3__Scaled_Br_20080225093529482_S16704_I92401	right	0.446537918
02_std/fused_labels/ADNI_011_S_0362_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20080205161416597_S12678_I89404	right	0.5577244841
02_std/fused_labels/ADNI_011_S_0856_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080205162614078_S19031_I89408	right	0.3539823009
02_std/fused_labels/ADNI_012_S_1009_MR_MPR____N3__Scaled_Br_20070804145130249_S21610_I64717	right	0.6099086099
02_std/fused_labels/ADNI_012_S_1133_MR_MPR____N3__Scaled_2_Br_20081001125131282_S25016_I118741	right	0.5980582524
02_std/fused_labels/ADNI_011_S_0861_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070108234412094_S19476_I35513	right	0.5077428437
02_std/fused_labels/ADNI_012_S_1133_MR_MPR____N3__Scaled_Br_20070711170922052_S25016_I59224	right	0.3915139826
02_std/fused_labels/ADNI_011_S_1282_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727182019787_S26225_I62636	right	0.5895484526
02_std/fused_labels/ADNI_012_S_0637_MR_MPR____N3__Scaled_2_Br_20081001122934186_S16018_I118711	right	0.6344139651
02_std/fused_labels/ADNI_012_S_0803_MR_MPR____N3__Scaled_2_Br_20081001123507114_S19197_I118716	right	0.494047619
02_std/fused_labels/ADNI_012_S_0917_MR_MPR____N3__Scaled_2_Br_20081001123821611_S23404_I118719	right	0.3764044944
02_std/fused_labels/ADNI_012_S_0634_MR_MPR____N3__Scaled_Br_20070804131522070_S15751_I64585	right	0.3821532493
02_std/fused_labels/ADNI_012_S_1033_MR_MPR____N3__Scaled_Br_20070711170547643_S22635_I59219	right	0.5915107257
02_std/fused_labels/ADNI_012_S_0712_MR_MPR____N3__Scaled_2_Br_20081001123034709_S16704_I118712	right	0.5138755981
02_std/fused_labels/ADNI_012_S_1292_MR_MPR____N3__Scaled_Br_20080225095614127_S27448_I92429	right	0.4814487633
02_std/fused_labels/ADNI_012_S_1292_MR_MPR____N3__Scaled_2_Br_20081001125734671_S27448_I118746	right	0.5885486019
02_std/fused_labels/ADNI_012_S_1212_MR_MPR____N3__Scaled_Br_20070711171900690_S25005_I59237	right	0.6936585366
02_std/fused_labels/ADNI_012_S_0803_MR_MPR____N3__Scaled_Br_20070711172746366_S19197_I59250	right	0.5061425061
02_std/fused_labels/ADNI_012_S_1165_MR_MPR____N3__Scaled_Br_20070711171305055_S24576_I59229	right	0.6579304112
02_std/fused_labels/ADNI_013_S_0592_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20071028192251104_S18419_I79144	right	0.5474452555
02_std/fused_labels/ADNI_012_S_1212_MR_MPR____N3__Scaled_2_Br_20081001125242417_S25005_I118742	right	0.2989639862
02_std/fused_labels/ADNI_012_S_1009_MR_MPR____N3__Scaled_2_Br_20081001123612966_S21610_I118717	right	0.5189035917
02_std/fused_labels/ADNI_012_S_1175_MR_MPR____N3__Scaled_Br_20070711171524570_S24756_I59232	right	0.4705323194
02_std/fused_labels/ADNI_013_S_0699_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070727182856171_S18366_I62650	right	0.3428328371
02_std/fused_labels/ADNI_013_S_0860_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426173344229_S19237_I51533	right	0.5335276968
02_std/fused_labels/ADNI_013_S_0240_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070426090948082_S12308_I51151	right	0.480349345
02_std/fused_labels/ADNI_012_S_1033_MR_MPR____N3__Scaled_2_Br_20081001123718428_S22635_I118718	right	0.6541799909
02_std/fused_labels/ADNI_013_S_1186_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727183243035_S25689_I62656	right	0.3851717902
02_std/fused_labels/ADNI_013_S_1275_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727183904208_S27069_I62666	right	0.6881211548
02_std/fused_labels/ADNI_012_S_1175_MR_MPR____N3__Scaled_2_Br_20081001124304235_S24756_I118738	right	0.4199903892
02_std/fused_labels/ADNI_013_S_1276_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727184726417_S27641_I62680	right	0.5229357798
02_std/fused_labels/ADNI_012_S_1321_MR_MPR____N3__Scaled_2_Br_20081001125622173_S26933_I118745	right	0.4669365722
02_std/fused_labels/ADNI_012_S_1165_MR_MPR____N3__Scaled_2_Br_20081001123930839_S24576_I118729	right	0.3690205011
02_std/fused_labels/ADNI_012_S_1321_MR_MPR____N3__Scaled_Br_20070731164421634_S26933_I63367	right	0.3655629139
02_std/fused_labels/ADNI_013_S_1205_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426173828172_S25024_I51542	right	0.5998962117
02_std/fused_labels/ADNI_013_S_0502_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426090217227_S17232_I51138	right	0.5432541461
02_std/fused_labels/ADNI_013_S_1035_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426091804212_S21984_I51165	right	0.4029304029
02_std/fused_labels/ADNI_013_S_0575_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070426091507319_S17859_I51160	right	0.642007926
02_std/fused_labels/ADNI_014_S_0557_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213005125862_S15094_I39674	right	0.6789151356
02_std/fused_labels/ADNI_013_S_0325_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070517130132929_S13524_I54665	right	0.4203821656
02_std/fused_labels/ADNI_014_S_0548_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213003619175_S14921_I39665	right	0.5905861456
02_std/fused_labels/ADNI_013_S_0996_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426092308209_S22240_I51183	right	0.5343811395
02_std/fused_labels/ADNI_014_S_0563_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213012025422_S16079_I39692	right	0.6257947321
02_std/fused_labels/ADNI_016_S_0359_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080308122209967_S13000_I96221	right	0.6060301508
02_std/fused_labels/ADNI_016_S_0538_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217020336501_S17545_I40772	right	0.6109061091
02_std/fused_labels/ADNI_016_S_0590_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426172230102_S15409_I51515	right	0.4658848614
02_std/fused_labels/ADNI_014_S_0520_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070213002755949_S14473_I39660	right	0.5078689919
02_std/fused_labels/ADNI_014_S_0328_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070212231950856_S12402_I39620	right	0.6722759781
02_std/fused_labels/ADNI_013_S_1120_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426171701271_S22815_I51494	right	0.4907103825
02_std/fused_labels/ADNI_016_S_1092_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20080408123505686_S23827_I101411	right	0.5816226784
02_std/fused_labels/ADNI_014_S_0169_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070217040959687_S11565_I40858	right	0.6710126032
02_std/fused_labels/ADNI_016_S_0354_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080225190402189_S14080_I92669	right	0.5150766189
02_std/fused_labels/ADNI_013_S_1161_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426171211057_S24399_I51485	right	0.6145787866
02_std/fused_labels/ADNI_016_S_0769_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070412172606992_S17720_I48867	right	0.5677772707
02_std/fused_labels/ADNI_016_S_1149_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080307101310157_S24786_I95615	right	0.4077498899
02_std/fused_labels/ADNI_016_S_1138_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20071223124025892_S24779_I86045	right	0.6053527981
02_std/fused_labels/ADNI_014_S_0519_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213000538637_S14488_I39647	right	0.6661045531
02_std/fused_labels/ADNI_016_S_1028_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217023802197_S22058_I40799	right	0.6283408976
02_std/fused_labels/ADNI_018_S_0043_MR_MPR____N3__Scaled_2_Br_20081010112340605_S10493_I120056	right	0.6784741144
02_std/fused_labels/ADNI_018_S_0043_MR_MPR____N3__Scaled_Br_20070118005318572_S10493_I36485	right	0.646926873
