file	side	kappa
02_std/fused_labels/ADNI_010_S_0422_MR_MPR____N3__Scaled_2_Br_20081001122053070_S23188_I118703	left	0.5780008365
02_std/fused_labels/ADNI_010_S_0420_MR_MPR____N3__Scaled_Br_20070807151957863_S15582_I65580	left	0.1464471404
02_std/fused_labels/ADNI_010_S_0829_MR_MPR____N3__Scaled_Br_20070731163202385_S26117_I63349	left	0.5620779221
02_std/fused_labels/ADNI_010_S_0161_MR_MPR-R____N3__Scaled_2_Br_20081001114455172_S10981_I118670	left	0.3677474403
02_std/fused_labels/ADNI_010_S_0786_MR_MPR____N3__Scaled_2_Br_20081002102855696_S19638_I118990	left	0.2374100719
02_std/fused_labels/ADNI_010_S_0904_MR_MPR____N3__Scaled_2_Br_20081001122202254_S23759_I118704	left	0.6796812749
02_std/fused_labels/ADNI_011_S_0002_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070108225928642_S9107_I35475	left	0.5346456693
02_std/fused_labels/ADNI_011_S_0003_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208111300610_S9127_I32237	left	0.4688136975
02_std/fused_labels/ADNI_010_S_0472_MR_MPR____N3__Scaled_Br_20070727181627156_S22912_I62630	left	0.6072838964
02_std/fused_labels/ADNI_010_S_0786_MR_MPR____N3__Scaled_Br_20070807153633938_S19638_I65597	left	0.2405345212
02_std/fused_labels/ADNI_011_S_0016_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208143604106_S9253_I32306	left	0.6522697223
02_std/fused_labels/ADNI_011_S_0008_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208113853608_S9195_I32264	left	0.6346067416
02_std/fused_labels/ADNI_010_S_0829_MR_MPR____N3__Scaled_2_Br_20081001122514861_S26117_I118707	left	0.5471797575
02_std/fused_labels/ADNI_011_S_0010_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208114538147_S8800_I32270	left	0.6815801999
02_std/fused_labels/ADNI_011_S_0022_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208150933591_S9617_I32389	left	0.2508676252
02_std/fused_labels/ADNI_010_S_0904_MR_MPR____N3__Scaled_Br_20070731163807463_S23759_I63357	left	0.6517119244
